Region_Geografica,Acceso_Servicios_Financieros,Tiempo_Pago_Horas,Uso_Tecnologia_Movil,Ingresos_Mensuales,Preferencia_Pago,Tenencia_Telefono_Celular,Edad,Nivel_Educativo,Frecuencia_Transacciones,Costo_Transporte_Pago,Numero_Cuentas_Bancarias,Satisfaccion_Servicios_Financieros,Sucursales_10KM
Zona Rural,Sin Acceso,3.51,Medio,2422482,Digital,Sí,26,Primaria,15,16416.09,3,Satisfecho,1
Zona Rural,Cuenta Bancaria,3.78,Alto,1158052,Digital,Sí,54,Secundaria,10,18385.43,1,Neutral,1
Comuna 10,Billetera Movil,2.93,Bajo,1732270,Presencial,No,54,Primaria,26,14897.38,3,Insatisfecho,3
Comuna 8,Sin Acceso,3.45,Medio,801727,Digital,No,51,Técnico,32,9505.19,0,Neutral,0
Comuna 8,Sin Acceso,5.67,Medio,2496196,Digital,Sí,59,Secundaria,25,1831.79,2,Muy Satisfecho,0
Comuna 5,Cuenta Bancaria,3.21,Bajo,1971697,Presencial,Sí,24,Técnico,29,15933.75,2,Insatisfecho,2
Comuna 13,Cuenta Bancaria,7.96,Alto,2969257,Digital,No,50,Técnico,50,1246.56,1,Insatisfecho,0
Comuna 10,Cuenta Bancaria,7.51,Bajo,1874527,Presencial,Sí,60,Primaria,6,16910.01,3,Neutral,0
Comuna 8,Billetera Movil,7.81,Medio,1751330,Presencial,Sí,44,Universitario,50,15331.75,0,Satisfecho,2
Comuna 13,Cuenta Bancaria,2.08,Medio,604273,Digital,No,42,Primaria,48,5588.87,3,Muy Satisfecho,1
Comuna 5,Billetera Movil,2.18,Alto,515084,Presencial,Sí,32,Primaria,3,13927.3,0,Muy Insatisfecho,0
Comuna 8,Sin Acceso,2.66,Bajo,1689030,Digital,No,26,Universitario,39,16753.13,1,Muy Insatisfecho,1
Comuna 13,Sin Acceso,3.59,Alto,2369464,Presencial,No,52,Secundaria,27,4787.18,0,Insatisfecho,0
Comuna 5,Billetera Movil,4.1,Medio,2945289,Digital,No,64,Universitario,45,8428.95,2,Neutral,1
Comuna 13,Billetera Movil,7.05,Alto,923631,Digital,No,44,Universitario,10,3587.59,1,Neutral,3
Comuna 13,Sin Acceso,0.68,Medio,533328,Presencial,No,32,Técnico,21,12195.26,2,Neutral,0
Comuna 13,Cuenta Bancaria,7.91,Medio,2395947,Presencial,No,37,Universitario,41,4487.56,3,Muy Satisfecho,3
Comuna 8,Billetera Movil,4.52,Medio,2727100,Digital,No,58,Técnico,29,15939.98,2,Satisfecho,2
Comuna 13,Sin Acceso,5.89,Bajo,1273843,Presencial,No,22,Secundaria,5,4442.23,1,Satisfecho,0
Comuna 13,Cuenta Bancaria,7.25,Alto,1645479,Digital,Sí,26,Universitario,14,19213.96,2,Muy Satisfecho,1
Zona Rural,Cuenta Bancaria,6.25,Alto,1816111,Presencial,No,30,Primaria,8,5682.55,2,Insatisfecho,0
Comuna 5,Sin Acceso,0.8,Alto,2692688,Presencial,No,66,Primaria,21,3510.68,1,Muy Satisfecho,0
Comuna 5,Billetera Movil,3.15,Bajo,1547881,Presencial,No,39,Primaria,27,11715.97,3,Neutral,0
Comuna 13,Billetera Movil,2.46,Bajo,1438943,Digital,Sí,59,Secundaria,38,3581.03,3,Insatisfecho,2
Comuna 13,Sin Acceso,0.95,Bajo,2753918,Presencial,No,24,Técnico,50,14852.34,3,Insatisfecho,3
Comuna 13,Cuenta Bancaria,7.86,Medio,2850005,Digital,No,23,Primaria,44,5470.14,2,Muy Satisfecho,0
Comuna 5,Sin Acceso,2.45,Bajo,2222160,Digital,No,34,Universitario,3,14938.85,0,Insatisfecho,1
Comuna 5,Sin Acceso,5.73,Medio,1895774,Digital,Sí,66,Técnico,27,15057.51,1,Muy Insatisfecho,1
Comuna 13,Billetera Movil,4.55,Alto,1857575,Presencial,No,48,Primaria,31,19381.24,1,Neutral,1
Comuna 10,Billetera Movil,5.93,Bajo,1818450,Presencial,Sí,31,Técnico,48,16141.82,0,Satisfecho,1
Comuna 5,Cuenta Bancaria,4.22,Bajo,766914,Digital,No,61,Secundaria,22,18573.79,0,Muy Insatisfecho,0
Comuna 10,Billetera Movil,6.89,Alto,618739,Presencial,No,63,Técnico,43,2753.68,2,Muy Satisfecho,0
Comuna 10,Sin Acceso,5.33,Alto,2837660,Digital,No,58,Secundaria,16,7903.74,2,Insatisfecho,0
Zona Rural,Sin Acceso,5.13,Alto,561113,Digital,No,18,Técnico,15,12003.65,0,Neutral,0
Comuna 8,Billetera Movil,2.83,Bajo,1427335,Digital,No,67,Primaria,3,2908.75,0,Muy Insatisfecho,1
Comuna 8,Cuenta Bancaria,5.03,Bajo,1050324,Digital,No,28,Secundaria,12,13264.91,1,Muy Insatisfecho,0
Zona Rural,Billetera Movil,7.47,Alto,2314239,Presencial,Sí,26,Secundaria,39,5531.89,3,Muy Satisfecho,2
Zona Rural,Sin Acceso,1.59,Medio,904529,Digital,Sí,65,Técnico,26,13337.07,1,Muy Insatisfecho,0
Zona Rural,Billetera Movil,7.87,Bajo,504853,Digital,Sí,26,Primaria,31,10320.12,1,Muy Insatisfecho,0
Comuna 5,Billetera Movil,5.2,Bajo,1957067,Presencial,Sí,58,Primaria,2,7095.69,0,Muy Insatisfecho,1
Comuna 5,Billetera Movil,2.94,Alto,964977,Presencial,Sí,56,Técnico,14,13072.13,1,Insatisfecho,1
Comuna 8,Cuenta Bancaria,0.99,Bajo,2630419,Digital,Sí,33,Secundaria,46,14813.79,2,Neutral,1
Comuna 13,Sin Acceso,4.58,Alto,1881694,Presencial,Sí,64,Secundaria,50,17383.53,2,Insatisfecho,3
Comuna 10,Billetera Movil,6.97,Alto,579720,Presencial,No,46,Primaria,14,13341.53,0,Neutral,2
Zona Rural,Cuenta Bancaria,0.65,Medio,2922498,Digital,No,39,Técnico,11,19016.11,1,Insatisfecho,1
Comuna 8,Billetera Movil,2.77,Medio,2760531,Presencial,Sí,62,Técnico,27,6801.25,1,Satisfecho,3
Comuna 5,Billetera Movil,5.03,Alto,2482310,Digital,Sí,56,Técnico,38,19553.0,3,Neutral,2
Zona Rural,Sin Acceso,7.52,Medio,882425,Digital,No,64,Técnico,7,9709.03,0,Satisfecho,3
Comuna 13,Billetera Movil,7.29,Medio,1365732,Presencial,Sí,41,Secundaria,50,15476.05,1,Satisfecho,1
Comuna 5,Billetera Movil,3.11,Bajo,2728011,Presencial,Sí,30,Primaria,16,19091.9,1,Muy Insatisfecho,1
Comuna 10,Billetera Movil,2.3,Alto,993550,Presencial,No,29,Secundaria,31,11379.21,2,Muy Insatisfecho,1
Zona Rural,Billetera Movil,7.35,Medio,2399874,Digital,No,62,Secundaria,4,13103.94,2,Muy Satisfecho,0
Comuna 13,Cuenta Bancaria,7.74,Alto,577452,Presencial,No,68,Universitario,11,13504.85,2,Muy Insatisfecho,3
Comuna 5,Cuenta Bancaria,4.8,Alto,2781332,Digital,No,45,Secundaria,50,16613.18,2,Neutral,0
Comuna 10,Sin Acceso,4.14,Medio,1828747,Digital,Sí,43,Técnico,12,10313.41,1,Satisfecho,1
Comuna 13,Sin Acceso,4.14,Bajo,970103,Digital,Sí,65,Técnico,15,18118.04,3,Muy Insatisfecho,1
Comuna 13,Billetera Movil,1.55,Medio,2698121,Digital,Sí,20,Secundaria,36,15388.22,2,Neutral,0
Comuna 13,Sin Acceso,2.64,Bajo,1552745,Digital,Sí,36,Primaria,12,14170.05,2,Satisfecho,0
Comuna 5,Sin Acceso,7.89,Medio,2034085,Digital,Sí,38,Primaria,23,19861.87,0,Muy Insatisfecho,0
Zona Rural,Cuenta Bancaria,2.42,Alto,2337433,Presencial,No,40,Primaria,24,18939.06,1,Satisfecho,2
Comuna 10,Cuenta Bancaria,6.04,Bajo,505078,Digital,No,43,Primaria,31,5236.02,0,Muy Satisfecho,0
Comuna 8,Cuenta Bancaria,2.39,Medio,1089677,Presencial,No,56,Primaria,11,5756.35,1,Insatisfecho,1
Comuna 13,Cuenta Bancaria,1.6,Alto,524981,Digital,Sí,41,Primaria,30,19153.74,0,Insatisfecho,1
Zona Rural,Sin Acceso,3.04,Bajo,2706521,Digital,Sí,40,Primaria,30,2001.22,1,Satisfecho,0
Zona Rural,Billetera Movil,6.07,Medio,2911827,Presencial,Sí,68,Técnico,26,17221.88,3,Muy Insatisfecho,2
Zona Rural,Cuenta Bancaria,4.11,Alto,2784380,Presencial,No,53,Universitario,16,1162.27,3,Satisfecho,0
Comuna 13,Sin Acceso,3.61,Medio,2186916,Presencial,Sí,25,Universitario,12,7040.56,2,Muy Satisfecho,3
Comuna 5,Sin Acceso,4.7,Bajo,541806,Digital,No,47,Universitario,21,17452.82,0,Insatisfecho,0
Comuna 10,Billetera Movil,0.92,Alto,1032423,Digital,No,31,Secundaria,23,10169.5,2,Satisfecho,0
Zona Rural,Sin Acceso,2.35,Alto,1582587,Digital,No,47,Técnico,29,7495.24,3,Satisfecho,0
Zona Rural,Billetera Movil,4.46,Bajo,2003986,Digital,Sí,43,Secundaria,45,10162.3,1,Neutral,0
Comuna 8,Sin Acceso,3.62,Alto,790908,Presencial,No,32,Primaria,26,11240.88,0,Neutral,0
Comuna 8,Billetera Movil,6.46,Alto,1988721,Digital,Sí,43,Primaria,22,15528.3,0,Neutral,2
Comuna 10,Cuenta Bancaria,7.52,Medio,2620535,Digital,Sí,18,Universitario,36,8660.15,2,Muy Insatisfecho,0
Comuna 5,Cuenta Bancaria,7.15,Medio,2370046,Digital,Sí,56,Secundaria,30,1062.97,2,Neutral,1
Zona Rural,Billetera Movil,2.89,Alto,2947902,Digital,No,47,Universitario,49,15831.31,1,Satisfecho,0
Comuna 10,Sin Acceso,1.01,Alto,725253,Presencial,Sí,33,Secundaria,31,11357.26,1,Satisfecho,1
Zona Rural,Billetera Movil,0.62,Bajo,2561306,Presencial,Sí,31,Secundaria,39,16316.25,0,Muy Satisfecho,0
Zona Rural,Sin Acceso,7.68,Medio,1866508,Digital,Sí,64,Primaria,22,10226.46,3,Muy Insatisfecho,0
Comuna 13,Sin Acceso,4.17,Alto,1601287,Presencial,Sí,63,Técnico,46,11736.71,2,Muy Satisfecho,0
Comuna 10,Cuenta Bancaria,3.24,Bajo,2831254,Presencial,No,69,Universitario,11,13964.73,2,Muy Insatisfecho,0
Zona Rural,Sin Acceso,2.54,Medio,1500648,Presencial,Sí,27,Secundaria,46,17156.34,0,Satisfecho,0
Comuna 8,Cuenta Bancaria,3.69,Alto,1279034,Presencial,Sí,67,Secundaria,34,6085.61,3,Muy Insatisfecho,3
Comuna 8,Billetera Movil,6.15,Alto,2121461,Digital,Sí,28,Técnico,34,7154.29,1,Neutral,3
Comuna 5,Billetera Movil,4.18,Alto,1858617,Presencial,No,29,Primaria,16,18752.42,1,Insatisfecho,0
Comuna 10,Sin Acceso,7.46,Bajo,2949886,Presencial,Sí,67,Universitario,33,9784.52,2,Muy Insatisfecho,0
Comuna 10,Cuenta Bancaria,6.07,Medio,1478402,Presencial,Sí,66,Secundaria,38,9985.33,0,Muy Satisfecho,1
Comuna 5,Cuenta Bancaria,2.96,Bajo,2195280,Presencial,Sí,35,Primaria,34,14178.51,1,Insatisfecho,1
Zona Rural,Billetera Movil,4.34,Medio,869404,Presencial,Sí,60,Técnico,4,8840.35,2,Neutral,0
Comuna 10,Sin Acceso,5.22,Medio,1752858,Digital,No,40,Técnico,47,12807.27,3,Muy Satisfecho,0
Zona Rural,Sin Acceso,2.14,Alto,2292622,Digital,Sí,32,Técnico,37,12150.6,2,Muy Satisfecho,0
Comuna 5,Cuenta Bancaria,7.54,Bajo,1828191,Digital,Sí,24,Técnico,32,4492.94,1,Insatisfecho,0
Comuna 8,Cuenta Bancaria,5.69,Bajo,1336129,Digital,No,24,Primaria,8,10042.54,0,Insatisfecho,0
Comuna 5,Billetera Movil,5.87,Alto,2427372,Digital,No,31,Secundaria,3,16276.63,1,Muy Insatisfecho,0
Comuna 13,Sin Acceso,4.37,Medio,1132992,Presencial,No,22,Secundaria,33,17735.31,3,Insatisfecho,0
Comuna 10,Billetera Movil,1.06,Medio,2736223,Digital,No,43,Universitario,15,6453.76,3,Satisfecho,1
Comuna 5,Billetera Movil,0.7,Medio,1372739,Presencial,No,27,Secundaria,32,8177.62,1,Muy Insatisfecho,1
Comuna 13,Sin Acceso,2.86,Bajo,1930158,Digital,No,48,Secundaria,1,9643.16,2,Muy Satisfecho,0
Comuna 5,Sin Acceso,3.45,Medio,2230349,Digital,Sí,34,Secundaria,43,4082.03,0,Muy Satisfecho,1
Zona Rural,Billetera Movil,4.29,Alto,2258044,Digital,No,56,Primaria,14,16009.07,3,Insatisfecho,0
Comuna 8,Billetera Movil,2.85,Bajo,805363,Presencial,Sí,53,Técnico,19,6092.4,1,Neutral,0
Comuna 10,Sin Acceso,6.72,Alto,2429892,Presencial,Sí,69,Técnico,18,2830.2,0,Muy Satisfecho,1
Zona Rural,Sin Acceso,4.05,Bajo,817603,Digital,No,59,Primaria,44,18850.58,3,Muy Insatisfecho,0
Comuna 10,Billetera Movil,1.06,Medio,1622872,Digital,Sí,68,Primaria,42,19456.9,2,Muy Satisfecho,3
Comuna 10,Sin Acceso,5.67,Bajo,1830178,Presencial,Sí,22,Técnico,11,17958.09,1,Muy Insatisfecho,0
Zona Rural,Cuenta Bancaria,7.86,Alto,1211935,Presencial,Sí,50,Primaria,20,9289.56,0,Muy Satisfecho,0
Comuna 13,Billetera Movil,5.05,Medio,873921,Presencial,Sí,55,Técnico,32,3026.88,0,Neutral,2
Zona Rural,Sin Acceso,3.59,Medio,2499029,Presencial,No,44,Primaria,9,6450.63,2,Muy Satisfecho,1
Comuna 10,Billetera Movil,2.07,Medio,819538,Presencial,Sí,23,Secundaria,24,12234.93,3,Satisfecho,0
Comuna 13,Sin Acceso,3.52,Bajo,1191451,Digital,No,40,Universitario,11,11845.92,3,Insatisfecho,0
Comuna 8,Billetera Movil,6.87,Bajo,1325722,Presencial,No,33,Primaria,3,14547.74,1,Satisfecho,1
Comuna 10,Sin Acceso,6.64,Bajo,2945377,Presencial,Sí,64,Técnico,39,14835.77,1,Insatisfecho,0
Zona Rural,Cuenta Bancaria,6.08,Bajo,2033286,Presencial,Sí,65,Secundaria,23,19479.37,3,Muy Insatisfecho,0
Comuna 10,Billetera Movil,5.73,Medio,588555,Digital,No,20,Primaria,7,4420.39,1,Neutral,2
Zona Rural,Cuenta Bancaria,2.31,Alto,2616718,Presencial,Sí,44,Universitario,10,19946.57,3,Muy Insatisfecho,0
Comuna 8,Sin Acceso,2.21,Medio,888315,Digital,Sí,59,Secundaria,45,8986.15,3,Insatisfecho,1
Comuna 5,Billetera Movil,4.72,Alto,641140,Digital,No,64,Secundaria,26,6513.89,3,Satisfecho,0
Comuna 13,Cuenta Bancaria,2.83,Alto,2436902,Digital,Sí,26,Técnico,36,9421.67,3,Satisfecho,0
Comuna 10,Sin Acceso,7.75,Alto,514246,Presencial,Sí,62,Primaria,2,13396.38,1,Muy Satisfecho,0
Comuna 8,Billetera Movil,1.85,Alto,2325258,Presencial,Sí,18,Universitario,42,19144.82,0,Muy Satisfecho,3
Comuna 13,Sin Acceso,7.29,Alto,2749912,Presencial,Sí,54,Universitario,4,19807.87,1,Satisfecho,1
Zona Rural,Cuenta Bancaria,5.5,Bajo,952851,Presencial,Sí,24,Técnico,30,12979.26,1,Satisfecho,0
Comuna 5,Cuenta Bancaria,7.62,Alto,715156,Presencial,Sí,21,Universitario,37,10495.82,2,Muy Insatisfecho,2
Comuna 10,Sin Acceso,4.56,Bajo,839466,Digital,No,36,Universitario,46,9071.41,3,Muy Insatisfecho,2
Comuna 13,Cuenta Bancaria,5.07,Alto,796028,Presencial,No,69,Técnico,47,10266.59,2,Satisfecho,0
Comuna 5,Billetera Movil,7.14,Alto,2476430,Digital,No,56,Secundaria,11,9812.86,0,Insatisfecho,0
Comuna 5,Sin Acceso,2.59,Medio,2362401,Presencial,Sí,26,Técnico,27,13469.79,2,Satisfecho,2
Comuna 5,Sin Acceso,7.49,Alto,2546924,Digital,Sí,35,Primaria,22,6573.08,2,Neutral,1
Zona Rural,Cuenta Bancaria,4.76,Bajo,1699573,Presencial,Sí,55,Secundaria,45,4497.49,2,Muy Insatisfecho,0
Comuna 10,Billetera Movil,3.4,Alto,964419,Digital,No,42,Técnico,28,5118.88,3,Insatisfecho,3
Comuna 5,Sin Acceso,7.59,Alto,1402420,Digital,Sí,69,Universitario,8,7885.09,0,Satisfecho,1
Comuna 5,Billetera Movil,6.69,Bajo,1843807,Digital,No,27,Técnico,25,16210.78,2,Satisfecho,1
Zona Rural,Cuenta Bancaria,7.8,Medio,1247694,Presencial,No,30,Secundaria,15,3931.85,0,Muy Satisfecho,0
Comuna 5,Billetera Movil,7.79,Medio,2126590,Presencial,Sí,22,Universitario,34,8774.44,1,Insatisfecho,1
Zona Rural,Cuenta Bancaria,5.53,Bajo,1764255,Presencial,No,25,Primaria,43,13745.49,0,Satisfecho,2
Comuna 5,Billetera Movil,3.45,Bajo,1121978,Digital,No,58,Universitario,4,3018.55,1,Satisfecho,3
Comuna 5,Sin Acceso,4.81,Alto,1601018,Presencial,No,19,Técnico,20,6886.77,1,Neutral,0
Comuna 5,Sin Acceso,4.02,Alto,1987728,Presencial,No,35,Secundaria,35,4671.53,1,Muy Satisfecho,0
Comuna 5,Sin Acceso,1.64,Alto,1602718,Presencial,No,67,Secundaria,13,10931.76,1,Neutral,2
Comuna 5,Sin Acceso,5.12,Bajo,2057516,Digital,Sí,53,Primaria,38,16437.75,1,Muy Satisfecho,0
Comuna 8,Sin Acceso,2.08,Alto,1894423,Presencial,Sí,63,Secundaria,30,15217.15,0,Insatisfecho,0
Zona Rural,Sin Acceso,2.07,Medio,761526,Digital,No,49,Universitario,44,6449.19,0,Insatisfecho,0
Comuna 8,Cuenta Bancaria,5.86,Alto,2168785,Presencial,Sí,31,Técnico,7,11093.76,1,Muy Insatisfecho,1
Comuna 13,Billetera Movil,3.25,Medio,1477013,Digital,Sí,29,Universitario,18,7050.75,0,Satisfecho,0
Zona Rural,Cuenta Bancaria,7.21,Alto,808970,Presencial,No,50,Universitario,25,17877.07,0,Muy Insatisfecho,2
Comuna 13,Billetera Movil,6.58,Alto,2690775,Digital,Sí,21,Universitario,28,14270.26,3,Satisfecho,0
Comuna 8,Cuenta Bancaria,0.61,Bajo,2350074,Digital,No,60,Secundaria,37,1860.33,2,Insatisfecho,1
Comuna 5,Cuenta Bancaria,4.47,Bajo,1829056,Presencial,No,22,Técnico,16,6478.46,1,Muy Insatisfecho,0
Comuna 5,Billetera Movil,4.99,Medio,1994494,Presencial,Sí,66,Universitario,6,15395.49,3,Satisfecho,1
Comuna 5,Cuenta Bancaria,1.76,Medio,1518553,Digital,Sí,55,Primaria,12,2379.99,3,Muy Satisfecho,1
Comuna 10,Billetera Movil,2.03,Medio,2061710,Digital,Sí,45,Secundaria,3,15891.39,0,Muy Insatisfecho,0
Comuna 5,Sin Acceso,7.14,Bajo,2753987,Digital,No,54,Universitario,9,13561.67,3,Satisfecho,0
Zona Rural,Sin Acceso,3.35,Bajo,1135969,Presencial,Sí,29,Universitario,22,10825.15,1,Muy Insatisfecho,1
Comuna 10,Cuenta Bancaria,1.36,Alto,1693476,Digital,No,38,Secundaria,13,7044.49,1,Muy Satisfecho,0
Comuna 10,Billetera Movil,4.18,Medio,1704603,Digital,Sí,55,Técnico,28,10000.77,1,Satisfecho,2
Comuna 8,Cuenta Bancaria,0.57,Bajo,773388,Presencial,No,64,Técnico,30,14115.08,3,Muy Insatisfecho,0
Comuna 5,Cuenta Bancaria,1.55,Medio,2991504,Presencial,No,61,Secundaria,2,8648.58,1,Muy Satisfecho,0
Comuna 5,Billetera Movil,3.21,Alto,655607,Digital,No,62,Primaria,20,19129.29,2,Insatisfecho,0
Comuna 10,Sin Acceso,6.4,Bajo,1250130,Digital,No,24,Universitario,24,5191.8,3,Neutral,0
Comuna 10,Sin Acceso,2.77,Alto,1790880,Presencial,Sí,52,Universitario,50,4195.5,3,Neutral,0
Comuna 8,Sin Acceso,7.07,Medio,585486,Digital,Sí,57,Técnico,13,8201.43,0,Muy Satisfecho,1
Comuna 8,Cuenta Bancaria,6.17,Bajo,936828,Presencial,No,59,Primaria,11,8231.16,0,Neutral,1
Comuna 13,Billetera Movil,3.2,Bajo,506707,Presencial,No,42,Técnico,47,14612.28,2,Muy Insatisfecho,1
Zona Rural,Sin Acceso,1.03,Medio,1872113,Presencial,No,32,Técnico,4,13631.01,1,Muy Satisfecho,0
Comuna 13,Sin Acceso,5.73,Medio,2218216,Presencial,No,23,Universitario,37,6222.53,3,Muy Satisfecho,0
Zona Rural,Sin Acceso,3.25,Medio,1843422,Digital,No,19,Secundaria,11,1791.2,3,Insatisfecho,0
Zona Rural,Sin Acceso,7.5,Alto,1856952,Presencial,Sí,44,Primaria,20,12235.44,3,Muy Insatisfecho,0
Comuna 10,Cuenta Bancaria,7.66,Bajo,2854375,Presencial,No,52,Primaria,16,2617.94,2,Muy Satisfecho,0
Comuna 10,Cuenta Bancaria,1.87,Alto,673113,Presencial,Sí,66,Técnico,29,12298.15,1,Satisfecho,3
Comuna 8,Cuenta Bancaria,6.11,Alto,2633736,Presencial,Sí,69,Secundaria,17,19251.69,1,Muy Insatisfecho,0
Comuna 13,Billetera Movil,0.98,Bajo,965964,Presencial,Sí,28,Técnico,43,17207.76,2,Satisfecho,0
Comuna 13,Sin Acceso,7.54,Alto,1525624,Presencial,No,51,Secundaria,31,11700.75,2,Neutral,0
Zona Rural,Sin Acceso,6.97,Alto,1926499,Presencial,No,48,Técnico,10,17106.68,2,Satisfecho,3
Comuna 13,Billetera Movil,4.98,Bajo,2725731,Digital,No,19,Primaria,14,14212.32,2,Muy Satisfecho,0
Zona Rural,Billetera Movil,6.81,Alto,1461455,Digital,No,50,Primaria,36,11353.03,3,Muy Insatisfecho,0
Zona Rural,Cuenta Bancaria,7.07,Bajo,679022,Digital,No,32,Secundaria,29,12777.6,1,Insatisfecho,1
Comuna 5,Sin Acceso,6.39,Bajo,2456881,Presencial,Sí,63,Técnico,34,8720.9,3,Insatisfecho,1
Zona Rural,Cuenta Bancaria,3.72,Bajo,1626840,Digital,Sí,19,Primaria,37,14781.28,0,Satisfecho,0
Comuna 5,Billetera Movil,4.62,Medio,1728384,Digital,No,24,Universitario,35,2620.99,3,Neutral,0
Comuna 8,Sin Acceso,5.11,Alto,2340673,Digital,Sí,64,Primaria,15,13786.95,1,Insatisfecho,3
Zona Rural,Sin Acceso,7.93,Medio,1749598,Digital,No,31,Universitario,50,12283.37,2,Muy Satisfecho,0
Comuna 8,Sin Acceso,7.31,Medio,1845433,Digital,No,26,Técnico,15,5738.91,2,Insatisfecho,0
Zona Rural,Sin Acceso,3.79,Bajo,1595373,Digital,Sí,51,Técnico,24,19685.33,2,Muy Insatisfecho,0
Zona Rural,Cuenta Bancaria,4.44,Bajo,1629126,Presencial,Sí,30,Técnico,35,4666.51,1,Muy Satisfecho,0
Comuna 8,Billetera Movil,6.45,Medio,2607491,Presencial,No,18,Secundaria,38,14040.14,0,Insatisfecho,0
Comuna 8,Sin Acceso,2.13,Medio,845806,Digital,No,24,Técnico,15,7354.21,2,Neutral,0
Comuna 5,Billetera Movil,7.16,Bajo,2173263,Presencial,Sí,48,Secundaria,12,5042.09,3,Satisfecho,0
Zona Rural,Sin Acceso,1.61,Bajo,1991195,Digital,No,29,Universitario,35,1940.71,0,Satisfecho,0
Comuna 8,Cuenta Bancaria,3.58,Medio,2880031,Digital,Sí,35,Universitario,19,8959.04,0,Muy Insatisfecho,0
Comuna 8,Cuenta Bancaria,6.09,Medio,1518372,Digital,No,25,Técnico,19,1265.05,2,Muy Satisfecho,0
Zona Rural,Billetera Movil,2.65,Medio,1290926,Presencial,Sí,41,Técnico,12,19884.13,1,Muy Insatisfecho,2
Comuna 5,Billetera Movil,3.24,Medio,2014762,Digital,Sí,58,Secundaria,36,8588.22,0,Muy Satisfecho,3
Comuna 10,Sin Acceso,5.63,Bajo,534488,Digital,Sí,24,Secundaria,10,2727.25,3,Satisfecho,1
Zona Rural,Billetera Movil,5.29,Bajo,848762,Presencial,No,36,Secundaria,16,6647.45,3,Satisfecho,1
Comuna 10,Billetera Movil,4.77,Alto,1943337,Digital,Sí,42,Secundaria,15,5479.74,3,Muy Satisfecho,0
Comuna 13,Sin Acceso,1.21,Alto,2865767,Presencial,Sí,34,Primaria,20,2843.23,3,Muy Insatisfecho,2
Comuna 5,Sin Acceso,2.72,Medio,2568009,Presencial,No,44,Secundaria,44,15585.5,3,Neutral,0
Comuna 10,Sin Acceso,6.08,Medio,531082,Digital,Sí,34,Primaria,25,18501.78,0,Insatisfecho,0
Comuna 8,Cuenta Bancaria,1.89,Alto,1044434,Presencial,No,66,Primaria,10,10202.51,0,Neutral,1
Comuna 5,Billetera Movil,1.26,Bajo,1218901,Presencial,Sí,63,Primaria,32,10822.76,3,Insatisfecho,1
Comuna 5,Sin Acceso,6.19,Alto,612301,Digital,Sí,51,Universitario,9,8762.79,2,Insatisfecho,2
Comuna 5,Sin Acceso,6.66,Alto,582593,Presencial,No,60,Universitario,22,4299.5,3,Neutral,2
Comuna 5,Billetera Movil,1.34,Bajo,1883652,Presencial,No,34,Universitario,28,19137.49,0,Insatisfecho,0
Zona Rural,Cuenta Bancaria,5.48,Bajo,919803,Presencial,No,50,Universitario,23,18745.26,0,Insatisfecho,0
Comuna 8,Cuenta Bancaria,5.72,Alto,1825091,Presencial,Sí,18,Técnico,25,9141.32,1,Muy Satisfecho,0
Comuna 10,Cuenta Bancaria,2.61,Medio,2762166,Presencial,No,25,Técnico,3,16296.52,2,Muy Satisfecho,0
Comuna 13,Sin Acceso,4.66,Alto,538858,Digital,No,60,Primaria,18,7000.37,2,Insatisfecho,1
Comuna 5,Cuenta Bancaria,1.14,Medio,683484,Presencial,No,34,Secundaria,32,18427.23,2,Muy Insatisfecho,2
Zona Rural,Billetera Movil,3.5,Medio,922042,Digital,No,67,Secundaria,45,19224.93,3,Neutral,2
Zona Rural,Billetera Movil,6.37,Medio,2928611,Presencial,Sí,38,Universitario,13,12955.74,0,Muy Insatisfecho,1
Comuna 10,Billetera Movil,5.06,Bajo,2183399,Presencial,Sí,63,Secundaria,25,7936.52,1,Muy Satisfecho,3
Comuna 5,Billetera Movil,2.3,Alto,666142,Presencial,No,47,Primaria,11,16422.09,0,Muy Insatisfecho,2
Comuna 5,Cuenta Bancaria,4.52,Alto,830095,Digital,Sí,64,Primaria,9,2943.75,3,Muy Satisfecho,2
Comuna 13,Cuenta Bancaria,5.52,Alto,566444,Digital,No,31,Técnico,27,15196.02,2,Muy Satisfecho,0
Comuna 5,Cuenta Bancaria,1.37,Alto,975292,Presencial,No,48,Universitario,16,16536.42,0,Muy Satisfecho,2
Zona Rural,Billetera Movil,6.31,Medio,1450789,Presencial,No,27,Secundaria,24,15176.41,0,Insatisfecho,1
Comuna 10,Sin Acceso,1.67,Bajo,1791545,Presencial,Sí,41,Técnico,32,7051.55,2,Satisfecho,0
Comuna 10,Billetera Movil,7.98,Medio,923049,Presencial,No,52,Universitario,28,2611.6,3,Muy Insatisfecho,1
Zona Rural,Billetera Movil,7.27,Medio,989962,Digital,No,66,Primaria,8,15676.27,1,Muy Satisfecho,0
Zona Rural,Cuenta Bancaria,6.55,Medio,1692341,Presencial,Sí,28,Técnico,11,12774.92,2,Satisfecho,1
Comuna 13,Cuenta Bancaria,4.97,Medio,2243993,Presencial,No,42,Secundaria,33,8310.2,2,Insatisfecho,1
Comuna 13,Sin Acceso,4.72,Medio,1551211,Presencial,Sí,58,Técnico,17,14695.19,3,Insatisfecho,1
